username,first_name,last_name,dob,pan,education,capital,income,debt,interest,credit_score,repayment
dis.parturient.montes@enim.co.uk,Oleg,Morrison,71-03-21,NFDUP46589,1,368429,24663,30053,5,654,1
Quisque@eratvel.ca,Deacon,Velasquez,87-07-27,SDEHV16854,1,718813,77811,70889,3,831,6
Curabitur@orciUtsemper.edu,Ursula,Chapman,61-03-27,JOCAW31900,1,458062,75665,72985,9,708,2
purus.mauris@Duisrisus.org,Irene,Jackson,62-03-22,SNOOU08655,3,991624,82673,74836,4,148,8
urna.suscipit@aultriciesadipiscing.co.uk,Brent,Mcconnell,78-04-05,MHXHP83379,3,219778,88968,37928,9,974,2
eu.turpis.Nulla@tortornibh.net,Thaddeus,Watkins,97-06-13,UTUND49846,4,466506,13926,29696,10,736,8
elementum@tincidunt.ca,Zenia,Burch,59-07-01,RBMSA30430,1,365296,10268,11749,10,829,2
nibh@Maecenasmi.net,Michael,Burgess,99-06-29,UBCXQ33561,3,635700,39133,54635,3,208,5
sodales@Nulla.org,Isaiah,Huber,52-02-18,VOZLW78267,2,248743,78155,59716,9,307,2
varius.et@vitaemauris.edu,Vincent,Mcgowan,71-12-31,DCYZC20197,3,209168,82238,33434,4,608,3
dapibus.ligula@ullamcorperDuiscursus.co.uk,Colorado,Ballard,73-10-30,WMAZK07939,2,661263,52289,15450,7,238,3
orci.lacus@auguescelerisque.org,Leila,Boyer,92-06-25,VSXSF17413,1,840354,81650,53663,8,811,6
lectus@facilisisloremtristique.org,Lucius,Koch,88-10-31,FPKJD11407,2,838990,79906,17262,6,321,6
nulla.Donec@PraesentluctusCurabitur.ca,Benjamin,Howell,78-05-30,FNQXM49507,3,848349,98625,81393,7,628,7
odio@consequatdolorvitae.edu,Dora,Hyde,68-11-27,ZTRSC99654,3,608987,90676,25909,10,307,1
nisi.Cum.sociis@hendreritneque.co.uk,Bree,Cummings,60-02-26,PZMAM87819,4,181318,16627,98764,3,816,2
nec.orci.Donec@blanditmattisCras.ca,Knox,Crane,79-11-29,FLAUO07508,3,516433,69374,87981,5,749,5
Nullam.nisl.Maecenas@metusvitaevelit.co.uk,Carl,Fields,71-12-28,GGGKJ54659,2,903684,63116,25542,5,318,9
